"ProductId","Image Url","Video Url","Product Desc","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Store Level","Comment Score","Promotion Url","Seller Code","Code Available Time Start","Code Available Time End","Code Campaign Type","Code Value/Rate","Code Mini Spend","Code Quantity","Code Promotion Url"
"1005003024920098","https://ae04.alicdn.com/kf/H57dba859c93b48c3a4bcf374c1bddcf79.jpg","","SJRC F7 4K PRO Drone GPS Professional 5G WiFi 3 Axis Gimbal EIS HD Camera FPV Brushless RC Foldable Quadcopter Drone","USD 159.54","10.00%","USD","8.0","USD 12.76","10","Average","0","https://s.click.aliexpress.com/e/_Dl1vnkn",,,,,,,,
"1005004496779816","https://ae04.alicdn.com/kf/Sc5225babfd144ca1b7f6feeb7eaadcc3I.jpg","","CX-10 Mini Drone 2.4G 4CH 6 Axis LED RC Quadcopter Toy Helicopter Pocket Drone With LED Light Toys For Kids Children Toy Drone","USD 4.32","46.00%","USD","7","USD 0.30","14","Good","4","https://s.click.aliexpress.com/e/_DdHcw8x",,,,,,,,
"1005004670361725","https://ae04.alicdn.com/kf/S6f1de0334ec1467a935990a25860066ec.jpg","https://cloud.video.taobao.com/play/u/2212887766030/p/1/e/6/t/10301/1100082894567.mp4","2022 New LSRC Quadcopter E88-525 Pro WIFI FPV Drone With Wide Angle HD 4K Camera Height Hold Avoidance RC Foldable Dron Gift Toy","USD 33.98","30.00%","USD","7","USD 2.38","0","Average","0","https://s.click.aliexpress.com/e/_DDFpGWn",,,,,,,,
"1005004536593792","https://ae04.alicdn.com/kf/Se3087c748aa4449e86174a231a2610d6i.jpg","","New F10 Pro Wifi Drone Profesional 6K HD Camera GPS 5G WIFI FPV Fold Quadcopter Distance 2KM Helicopters RC Drone Toy Gift","USD 58.04","51.00%","USD","10.0","USD 5.80","4","Below Average","0","https://s.click.aliexpress.com/e/_DErZC87",,,,,,,,
"1005004518676078","https://ae04.alicdn.com/kf/Se4f46f4f61204545a2dadce8e78416976.jpg","https://cloud.video.taobao.com/play/u/2212937830102/p/1/e/6/t/10301/1100064870094.mp4,https://cloud.video.taobao.com/play/u/2212937830102/p/1/e/6/t/10301/1100057826200.mp4","2022 NEW L900 Pro SE HD Drone GPS 4K Professional Camera 5G FPV Visual Obstacle Avoidance Brushless Motor Quadcopter Drones Toys","USD 80.94","50.00%","USD","7","USD 5.67","1","Good","0","https://s.click.aliexpress.com/e/_DlOimOf",,,,,,,,
"1005004542570364","https://ae04.alicdn.com/kf/S97d411411eb7453b898f1637ddab4a89T.jpg","https://cloud.video.taobao.com/play/u/2213320334473/p/1/e/6/t/10301/352431413691.mp4","L900 Pro Drone 5G Wifi Mini GPS 4K Profession Dual Camera Drones FPV 28min Brushless Motor Quadcopter Distance 1.2km","USD 69.41","52.00%","USD","8.0","USD 5.55","5","Below Average","0","https://s.click.aliexpress.com/e/_Defhehz",,,,,,,,
"1005004579509191","https://ae04.alicdn.com/kf/Sb802eb7559b04984ab3796b3642208ba4.jpg","https://cloud.video.taobao.com/play/u/2212782222510/p/1/e/6/t/10301/1100073146220.mp4","New LU9 MAX Drone GPS 8K HD Professional Dual Camera Optical Flow Positioning Brushless 5G FPV Obstacle Avoidance Quadcopter Toy","USD 99.10","40.00%","USD","10.0","USD 9.91","0","Good","0","https://s.click.aliexpress.com/e/_DFcJJht",,,,,,,,
"1005003920396894","https://ae04.alicdn.com/kf/S6146c43f60dd473d9cb8e1effb20ed220.jpg","","KaiOne Pro Drone 6k 8k Gps 5g 3-Axis Gimbal Camera Brushless Motor TF Card 1200m Distance 25Min Fly Time Quadcopter","USD 156.29","0.00%","USD","7","USD 10.94","0","Average","0","https://s.click.aliexpress.com/e/_DDaWfyB",,,,,,,,
"1005004625834123","https://ae04.alicdn.com/kf/Sc486eb6d35eb4bf79b6840d2f84b4a91d.jpg","https://cloud.video.taobao.com/play/u/2210971275320/p/1/e/6/t/10301/1100078554237.mp4","New S9000 Drone 4K HD ESC Dual Camera 2.4GHz Obstacle Avoidance Optical Flow Positioning Folding Quadcopter Remote Control Toy","USD 55.13","35.00%","USD","10.0","USD 5.51","0","Good","0","https://s.click.aliexpress.com/e/_DdaBKRZ",,,,,,,,
"1005001826218220","https://ae04.alicdn.com/kf/Saea3083b6132498192bcc5c618de8121B.jpg","","3 Days Arrival-Eachine E520S RC Quadcopter Drone WIFI FPV 4K 1080P HD Professional Wide Angle Camera High Hold Foldable Dron RTF","USD 62.39","48.00%","USD","3","USD 1.87","17","Good","5","https://s.click.aliexpress.com/e/_DBlNmsF",,,,,,,,
